GT	Gx	Gy	Gz	Temperature	Gyrox	Gyroy	Gyroz
 1.023	 1.022	-0.001	-0.034	 21.5	-38.864	-27.023	-14.038
 1.022	 1.021	 0.003	-0.043	 21.5	-38.757	-26.825	-13.702
 1.024	 1.023	 0.000	-0.037	 21.5	-38.589	-27.084	-14.069
 1.028	 1.028	 0.003	-0.035	 21.6	-38.773	-26.993	-14.465
 1.024	 1.023	 0.000	-0.041	 21.6	-38.803	-26.642	-13.962
 1.027	 1.026	 0.006	-0.041	 21.5	-38.696	-26.886	-13.702
 1.033	 1.032	 0.004	-0.048	 21.6	-38.681	-27.008	-14.191
 1.024	 1.023	 0.007	-0.039	 21.6	-38.742	-26.962	-14.191
 1.023	 1.022	 0.003	-0.043	 21.6	-38.635	-26.917	-13.733
 1.029	 1.028	 0.005	-0.044	 21.5	-38.925	-26.703	-13.672
 1.023	 1.022	 0.003	-0.041	 21.5	-38.620	-26.886	-14.267
 1.027	 1.026	-0.003	-0.052	 21.6	-38.788	-26.840	-14.160
 1.024	 1.023	 0.003	-0.039	 21.5	-38.803	-26.688	-13.641
 1.025	 1.024	 0.002	-0.041	 21.4	-38.483	-26.962	-13.794
 1.029	 1.028	-0.001	-0.049	 21.6	-38.879	-26.886	-14.221
 1.024	 1.023	 0.001	-0.051	 21.6	-38.651	-26.840	-14.053
 1.020	 1.020	 0.003	-0.036	 21.5	-38.635	-26.840	-13.565
 1.026	 1.026	 0.002	-0.034	 21.6	-38.818	-26.917	-13.840
 1.025	 1.024	 0.006	-0.044	 21.6	-38.712	-26.917	-14.343
 1.027	 1.026	 0.003	-0.043	 21.6	-38.635	-26.871	-14.069
 1.026	 1.025	 0.007	-0.043	 21.5	-38.803	-26.855	-13.641
 1.024	 1.023	-0.000	-0.043	 21.6	-38.574	-26.962	-14.114
 1.022	 1.021	 0.004	-0.046	 21.5	-38.773	-26.962	-14.313
 1.020	 1.019	-0.001	-0.041	 21.6	-38.788	-26.917	-13.931
 1.020	 1.019	-0.000	-0.044	 21.5	-38.727	-26.886	-13.535
